,DYN-HUMAN,DYN-RANDOM,LINRS,NRS,STATIC-HUMAN,STATIC-RANDOM,AC,DYN-HUMAN-P0,DYN-HUMAN-P1,DYN-HUMAN-P2,DYN-HUMAN-P3,DYN-HUMAN-P4,DYN-HUMAN-P5,DYN-HUMAN-P6,DYN-HUMAN-P7,DYN-HUMAN-P8,DYN-HUMAN-P9,STATIC-HUMAN-P0,STATIC-HUMAN-P1,STATIC-HUMAN-P2,STATIC-HUMAN-P3,STATIC-HUMAN-P4,STATIC-HUMAN-P5,STATIC-HUMAN-P6,STATIC-HUMAN-P7,STATIC-HUMAN-P8,STATIC-HUMAN-P9,STATIC-1,STATIC-10,STATIC-100,STATIC-1000,STATIC-10000
84,9,94,40.0,224,30.0,87.0,250.0,42.0,63.0,89.0,16.0,19.0,41.0,49.0,23.0,115.0,60.0,13.0,11.0,62.0,17.0,33.0,47.0,106.0,19.0,87.0,11.0,16.0,95.0,82.0,13.0,250.0
85,34,23,127.0,26,24.0,37.0,33.0,117.0,36.0,91.0,96.0,35.0,22.0,21.0,52.0,70.0,50.0,155.0,60.0,79.0,80.0,38.0,97.0,68.0,171.0,106.0,88.0,250.0,18.0,13.0,155.0,20.0
86,61,34,32.0,89,75.0,42.0,212.0,95.0,74.0,41.0,9.0,33.0,23.0,44.0,48.0,62.0,24.0,72.0,56.0,24.0,60.0,59.0,38.0,24.0,34.0,36.0,61.0,43.0,22.0,46.0,72.0,250.0
87,81,16,55.0,31,27.0,40.0,37.0,104.0,55.0,49.0,54.0,43.0,94.0,21.0,57.0,60.0,250.0,19.0,250.0,80.0,7.0,49.0,13.0,140.0,62.0,88.0,56.0,193.0,28.0,37.0,19.0,82.0
88,19,38,30.0,14,73.0,46.0,77.0,9.0,37.0,50.0,65.0,43.0,17.0,94.0,116.0,74.0,65.0,53.0,71.0,85.0,89.0,18.0,13.0,16.0,90.0,250.0,84.0,60.0,250.0,51.0,53.0,43.0
89,6,33,61.0,7,70.0,12.0,250.0,24.0,89.0,92.0,44.0,23.0,95.0,95.0,54.0,28.0,19.0,52.0,54.0,54.0,61.0,35.0,32.0,71.0,112.0,32.0,82.0,154.0,24.0,145.0,52.0,72.0
90,19,14,125.0,16,216.0,57.0,52.0,21.0,21.0,80.0,56.0,40.0,32.0,49.0,250.0,84.0,28.0,15.0,77.0,16.0,17.0,21.0,30.0,91.0,46.0,12.0,36.0,31.0,212.0,71.0,15.0,21.0
91,14,57,52.0,194,52.0,46.0,14.0,70.0,13.0,68.0,24.0,106.0,49.0,44.0,29.0,36.0,76.0,31.0,250.0,111.0,131.0,21.0,40.0,21.0,250.0,62.0,30.0,41.0,16.0,15.0,31.0,64.0
92,11,29,30.0,27,63.0,57.0,250.0,153.0,7.0,73.0,91.0,30.0,250.0,45.0,45.0,9.0,25.0,57.0,37.0,59.0,50.0,250.0,28.0,25.0,77.0,36.0,48.0,37.0,7.0,25.0,57.0,138.0
93,18,17,250.0,41,40.0,34.0,153.0,28.0,165.0,41.0,37.0,48.0,94.0,44.0,49.0,96.0,52.0,37.0,77.0,53.0,34.0,60.0,64.0,32.0,115.0,63.0,14.0,250.0,24.0,59.0,37.0,20.0
94,250,250,97.0,38,19.0,36.0,67.0,31.0,250.0,21.0,34.0,9.0,21.0,19.0,18.0,126.0,20.0,41.0,26.0,34.0,250.0,18.0,58.0,128.0,96.0,22.0,20.0,28.0,11.0,19.0,41.0,100.0
95,89,79,158.0,250,89.0,12.0,22.0,48.0,65.0,60.0,91.0,22.0,176.0,20.0,147.0,33.0,74.0,11.0,31.0,47.0,34.0,32.0,110.0,16.0,95.0,60.0,27.0,250.0,154.0,244.0,11.0,211.0
96,65,32,82.0,8,41.0,19.0,75.0,27.0,43.0,25.0,66.0,32.0,136.0,22.0,28.0,26.0,29.0,17.0,43.0,63.0,97.0,60.0,22.0,11.0,250.0,108.0,79.0,64.0,13.0,41.0,17.0,53.0
97,57,201,23.0,99,9.0,77.0,67.0,46.0,23.0,27.0,72.0,40.0,142.0,23.0,19.0,57.0,29.0,16.0,69.0,186.0,16.0,53.0,41.0,9.0,39.0,29.0,35.0,147.0,155.0,88.0,16.0,27.0
98,75,73,250.0,41,32.0,27.0,39.0,51.0,46.0,29.0,62.0,67.0,51.0,26.0,43.0,9.0,45.0,47.0,60.0,91.0,20.0,14.0,40.0,17.0,29.0,17.0,212.0,190.0,229.0,57.0,47.0,68.0
99,250,231,41.0,250,44.0,84.0,27.0,69.0,101.0,128.0,87.0,42.0,22.0,26.0,18.0,52.0,84.0,45.0,,14.0,70.0,,30.0,250.0,34.0,18.0,141.0,82.0,250.0,194.0,45.0,29.0
100,75,94,37.0,30,19.0,63.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,73,117,194.0,9,118.0,15.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,
102,37,51,205.0,213,79.0,41.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,
103,109,66,48.0,29,138.0,41.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
104,19,21,9.0,60,10.0,48.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,63,127,152.0,250,30.0,68.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,
106,42,26,15.0,15,57.0,65.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
107,110,60,48.0,49,29.0,19.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
108,26,161,35.0,13,15.0,53.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
109,31,137,90.0,46,92.0,69.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
110,150,94,30.0,21,52.0,37.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
111,19,22,66.0,39,176.0,99.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
112,49,240,45.0,16,46.0,53.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,
113,40,49,208.0,250,33.0,13.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
114,52,27,20.0,119,51.0,168.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
115,21,17,250.0,48,59.0,38.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,119,77,63.0,13,16.0,250.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,
117,93,110,82.0,250,69.0,24.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
118,127,14,32.0,239,135.0,77.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
119,17,66,166.0,68,64.0,55.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
120,20,33,250.0,109,24.0,30.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
121,50,19,29.0,117,73.0,52.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,
122,153,17,19.0,250,250.0,55.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,
123,107,45,228.0,250,55.0,29.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
124,36,38,73.0,13,59.0,19.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
125,28,11,101.0,129,148.0,13.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,
126,63,39,250.0,81,76.0,35.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
127,51,34,250.0,69,40.0,85.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
128,43,15,250.0,36,24.0,77.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
129,145,66,61.0,179,66.0,118.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
130,37,80,250.0,51,33.0,23.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
131,151,250,55.0,44,44.0,95.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,
132,57,47,57.0,189,64.0,14.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
133,72,250,139.0,34,34.0,33.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
134,74,75,155.0,28,33.0,49.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,
135,41,20,250.0,69,9.0,250.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,
136,20,21,250.0,31,43.0,39.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,
137,27,14,179.0,250,6.0,28.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,
138,28,62,39.0,131,40.0,19.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,
139,51,32,30.0,79,49.0,46.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
140,12,159,66.0,250,147.0,61.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
141,25,39,25.0,123,92.0,250.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
142,29,117,163.0,70,22.0,31.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
143,32,48,111.0,171,67.0,69.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
144,57,52,250.0,60,74.0,51.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
145,37,45,41.0,185,11.0,121.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
146,50,93,13.0,18,86.0,20.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
147,64,39,48.0,22,250.0,59.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
148,44,27,94.0,31,19.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
149,39,69,250.0,24,60.0,43.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
150,37,58,30.0,36,53.0,44.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
151,31,22,18.0,19,31.0,22.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
152,106,139,21.0,123,51.0,35.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
153,12,28,250.0,27,28.0,250.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,
154,70,56,16.0,43,38.0,39.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,71,94,17.0,250,250.0,63.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
156,58,66,27.0,71,47.0,51.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,47,42,250.0,73,16.0,86.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,11,102,49.0,16,57.0,78.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,100,33,62.0,39,18.0,33.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,
160,20,115,71.0,39,50.0,140.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,131,77,60.0,59,228.0,116.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,
162,61,73,38.0,250,68.0,154.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,70,24,130.0,118,94.0,144.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
164,250,44,55.0,250,135.0,88.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
165,8,13,214.0,100,62.0,18.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
166,32,101,250.0,112,77.0,250.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
167,40,20,27.0,10,13.0,40.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,51,76,143.0,29,43.0,114.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,72,50,23.0,27,250.0,114.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,41,40,164.0,250,66.0,55.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,22,67,71.0,126,40.0,45.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,139,34,161.0,37,30.0,52.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,22,19,87.0,88,84.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,82,26,31.0,67,24.0,88.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,18,32,140.0,40,86.0,73.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
176,50,29,139.0,250,43.0,35.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
177,37,222,62.0,250,65.0,39.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
178,46,169,53.0,128,30.0,35.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,41,70,250.0,165,59.0,69.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
180,58,59,92.0,29,68.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
181,82,134,176.0,53,79.0,47.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,
182,142,60,54.0,178,54.0,10.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
183,19,114,7.0,150,17.0,22.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,56,39,114.0,27,250.0,24.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,38,221,126.0,212,32.0,30.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,
186,250,250,131.0,28,42.0,19.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
187,59,66,40.0,9,41.0,250.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,
188,27,61,213.0,250,24.0,87.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,
189,20,23,75.0,71,21.0,67.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
190,17,17,140.0,12,65.0,14.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
191,70,112,250.0,128,158.0,250.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
192,250,233,250.0,15,39.0,110.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,
193,34,44,10.0,43,9.0,250.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
194,54,102,21.0,250,250.0,77.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
195,14,16,21.0,45,21.0,66.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
196,17,35,11.0,109,56.0,32.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
197,234,28,32.0,250,26.0,26.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
198,28,38,83.0,250,21.0,60.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
199,68,102,8.0,152,250.0,44.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
200,116,54,210.0,250,16.0,39.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
201,13,56,250.0,16,22.0,91.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
202,50,63,250.0,16,85.0,154.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
203,63,138,129.0,106,64.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
204,84,21,144.0,30,138.0,70.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
205,88,150,178.0,192,73.0,162.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
206,60,30,189.0,235,51.0,205.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
207,57,23,9.0,65,49.0,127.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
208,49,250,72.0,135,33.0,29.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
209,44,159,113.0,108,49.0,250.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
210,44,74,25.0,47,128.0,61.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
211,55,250,91.0,53,42.0,58.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
212,55,55,141.0,250,25.0,31.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
213,92,183,250.0,20,99.0,39.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
214,34,41,32.0,36,20.0,10.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
215,17,169,21.0,24,38.0,51.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,10,120,94.0,79,21.0,32.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
217,61,114,31.0,53,1.0,190.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
218,20,32,107.0,21,86.0,250.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
219,61,250,148.0,177,21.0,87.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
220,38,99,66.0,250,106.0,44.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
221,45,227,1.0,136,87.0,139.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
222,51,49,193.0,47,20.0,228.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
223,76,44,23.0,23,13.0,84.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
224,44,46,18.0,171,64.0,49.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
225,23,25,82.0,41,68.0,29.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,
226,51,30,52.0,16,50.0,42.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
227,250,250,144.0,9,18.0,98.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
228,12,30,10.0,6,58.0,28.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
229,50,34,76.0,49,63.0,48.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
230,44,83,250.0,250,68.0,76.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
231,177,25,47.0,183,250.0,14.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
232,82,76,16.0,21,36.0,146.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
233,159,66,35.0,51,19.0,33.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
234,32,207,67.0,250,30.0,250.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
235,25,41,31.0,22,34.0,86.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
236,54,100,9.0,210,27.0,35.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
237,110,45,162.0,71,93.0,69.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
238,35,15,40.0,69,8.0,105.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
239,19,28,115.0,182,41.0,211.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,
240,62,108,16.0,27,38.0,191.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,
241,46,63,126.0,183,102.0,25.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
242,49,28,117.0,1,1.0,20.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,
243,93,121,69.0,76,49.0,33.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
244,64,32,61.0,39,99.0,28.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
245,136,250,169.0,171,24.0,66.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
246,37,70,250.0,100,250.0,53.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,
247,38,31,145.0,45,54.0,8.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,
248,43,163,128.0,71,102.0,59.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,
249,63,91,24.0,49,106.0,35.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,
250,37,197,107.0,250,79.0,21.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
251,32,28,238.0,33,29.0,36.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
252,54,147,194.0,26,44.0,94.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
253,38,34,80.0,104,54.0,42.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
254,77,76,250.0,50,94.0,38.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
255,61,37,250.0,47,71.0,14.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,135,87,250.0,12,30.0,8.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,
257,59,45,43.0,250,52.0,44.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
258,98,80,49.0,50,104.0,27.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,
259,109,103,25.0,250,48.0,29.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,
260,16,31,134.0,250,27.0,44.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,
261,37,22,52.0,250,1.0,11.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
262,52,88,63.0,138,34.0,15.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
263,33,35,112.0,68,39.0,130.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
264,16,22,56.0,51,43.0,40.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,
265,47,20,28.0,49,22.0,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
266,29,39,66.0,95,15.0,26.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,
267,57,42,25.0,38,57.0,94.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,
268,55,41,152.0,62,52.0,35.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
269,49,55,24.0,104,34.0,18.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
270,84,191,69.0,20,20.0,28.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,
271,45,99,168.0,250,71.0,216.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
272,122,80,24.0,53,66.0,45.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
273,36,31,157.0,38,250.0,27.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,
274,32,168,250.0,250,86.0,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,23,20,152.0,47,22.0,35.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
276,117,85,250.0,80,76.0,71.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
277,250,54,250.0,56,42.0,35.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
278,81,97,250.0,154,28.0,215.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
279,11,100,250.0,13,51.0,134.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
280,41,39,186.0,33,30.0,63.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
281,68,17,158.0,69,22.0,45.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
282,43,100,250.0,131,67.0,45.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,
283,37,133,63.0,68,56.0,250.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,64,217,64.0,250,24.0,39.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,
285,22,41,89.0,19,128.0,40.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
286,52,250,193.0,99,85.0,116.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,
287,7,99,89.0,23,10.0,84.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
288,35,26,98.0,16,23.0,38.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
289,90,79,250.0,80,59.0,14.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
290,52,86,250.0,25,177.0,21.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
291,20,50,25.0,250,67.0,71.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
